idx,return,steps,failure,wall_dt
515,1.0,14,0,0.6603932260000249
516,1.0,14,0,0.6619173050000029
517,1.0,16,0,0.6631540640000253
518,1.0,18,1,0.6644144460000234
519,0.0,14,1,0.6655806110000242
520,1.0,16,0,0.6667805320000184
521,1.0,14,0,0.6678785779999998
522,1.0,14,0,0.6689766840000004
523,1.0,16,0,0.6701644910000084
524,1.0,16,0,0.6713518340000064
525,1.0,17,1,0.6725562790000197
526,1.0,14,0,0.6736499020000224
527,1.0,15,0,0.6748529200000064
528,1.0,16,0,0.6760530630000119
529,1.0,16,0,0.6772592110000062
530,0.0,10,1,0.6783690379999996
531,1.0,14,0,0.6794727740000042
532,1.0,14,0,0.6806570870000144
533,1.0,16,0,0.6818859920000193
534,1.0,14,0,0.6829951429999994
535,0.0,11,1,0.6841200090000257
536,1.0,14,0,0.6852149720000114
537,1.0,14,0,0.6863671100000204
538,0.0,8,1,0.6874585650000142
539,1.0,14,0,0.6885499880000054
540,1.0,15,0,0.6897416099999987
541,1.0,14,0,0.6909769510000103
542,0.0,13,1,0.6922372970000197
543,1.0,14,0,0.693333985999999
544,1.0,14,0,0.694511150000011
545,1.0,14,0,0.6956022070000074
546,0.0,14,1,0.6968456550000042
547,1.0,14,0,0.6979590700000244
548,1.0,14,0,0.699068877000002
549,1.0,14,0,0.7001942820000124
550,1.0,14,0,0.7015107810000245
551,1.0,14,0,0.7033425660000034
552,1.0,14,0,0.7048828560000118
553,1.0,18,1,0.7061788720000095
554,1.0,14,0,0.7073318010000094
555,0.0,9,1,0.708469005000012
556,1.0,16,0,0.7097036580000236
557,1.0,14,0,0.7108721070000001
558,1.0,14,0,0.7120011200000249
559,1.0,14,0,0.7131404670000165
560,1.0,14,0,0.7143458700000167
561,1.0,16,0,0.7156018630000176
562,1.0,14,0,0.7167091729999981
563,1.0,16,0,0.7179297910000173
564,0.0,12,1,0.7190742960000023
565,1.0,14,0,0.720238361000014
566,1.0,16,0,0.7214453610000078
567,1.0,14,0,0.7225376770000196
568,1.0,14,0,0.7236483800000144
569,0.0,10,1,0.7248408730000051
570,1.0,16,0,0.7260952150000151
571,1.0,14,0,0.7272361210000042
572,1.0,15,0,0.7284271649999994
573,1.0,16,0,0.7296346430000256
574,1.0,14,0,0.7307627739999987
575,0.0,8,1,0.7318438520000257
576,1.0,14,0,0.7329421809999985
577,1.0,18,1,0.7341603300000088
578,1.0,17,1,0.7353805550000061
579,1.0,15,0,0.7365614950000179
580,1.0,16,0,0.7377759250000224
581,1.0,14,0,0.7388721670000109
582,1.0,14,0,0.7399884069999985
583,1.0,14,0,0.741084002000008
584,0.0,12,1,0.7424369200000172
585,1.0,14,0,0.7438698260000081
586,1.0,16,0,0.7453595620000044
587,1.0,14,0,0.7471672030000036
588,1.0,14,0,0.7491987270000209
589,1.0,14,0,0.751063557000009
590,1.0,14,0,0.7524845679999999
591,1.0,14,0,0.7539338660000112
592,1.0,14,0,0.7552496659999974
593,1.0,14,0,0.7566380110000068
594,1.0,14,0,0.7579867490000254
595,1.0,14,0,0.7592529169999978
596,1.0,14,0,0.7606081860000131
597,1.0,14,0,0.761928265000023
598,1.0,14,0,0.7631858590000036
599,1.0,18,1,0.7647203520000119
600,1.0,16,0,0.7660645660000114
601,1.0,18,1,0.767354250000011
602,1.0,16,0,0.7686030250000044
603,1.0,14,0,0.7697580260000052
604,1.0,14,0,0.7709083170000213
605,1.0,14,0,0.7720256910000103
606,1.0,14,0,0.7731534090000025
607,1.0,14,0,0.7742828280000253
608,0.0,12,1,0.7754539050000062
609,1.0,15,0,0.7766558480000185
610,1.0,14,0,0.7779083710000236
611,1.0,14,0,0.7790207820000035
612,1.0,14,0,0.7801576530000034
613,1.0,14,0,0.7812489599999992
614,1.0,14,0,0.7823474360000091
615,1.0,14,0,0.7834330500000135
616,1.0,14,0,0.7845236170000192
617,1.0,14,0,0.7856047559999979
618,1.0,14,0,0.7866998599999988
619,1.0,16,0,0.7879318900000101
620,1.0,14,0,0.7890481760000227
621,1.0,14,0,0.7901502730000232
622,1.0,14,0,0.7912405000000149
623,1.0,14,0,0.7923318540000253
624,1.0,15,0,0.79351285300001
625,1.0,14,0,0.7946058050000033
626,0.0,11,1,0.7958072230000255
627,1.0,16,0,0.7970096930000068
628,1.0,14,0,0.798194699000021
629,0.0,10,1,0.7993150430000071
630,1.0,14,0,0.8004248010000197
631,1.0,16,0,0.8016631220000079
632,1.0,14,0,0.8027781840000046
633,1.0,14,0,0.8038769000000059
634,1.0,14,0,0.8049777559999995
635,1.0,14,0,0.8061272050000241
636,1.0,14,0,0.8072342180000192
637,1.0,16,0,0.8084319030000131
638,1.0,17,1,0.8096551950000048
639,1.0,14,0,0.8107653080000148
640,1.0,16,0,0.8119503750000092
641,1.0,14,0,0.8130441750000159
642,1.0,14,0,0.8141393430000221
643,1.0,14,0,0.8152247419999981
644,1.0,14,0,0.8163180680000153
645,1.0,14,0,0.8174059150000232
646,1.0,14,0,0.8185042270000054
647,1.0,16,0,0.8197442860000024
648,1.0,16,0,0.8209564680000199
649,1.0,14,0,0.8220589940000025
650,1.0,15,0,0.8232447640000089
651,1.0,14,0,0.8244144770000048
652,1.0,14,0,0.8255430550000256
653,1.0,14,0,0.826636657000023
654,1.0,18,1,0.8278795989999992
655,1.0,14,0,0.8290438470000083
656,1.0,14,0,0.8301444690000039
657,0.0,12,1,0.8313017670000136
658,1.0,14,0,0.8324126950000164
659,1.0,14,0,0.8334971470000028
660,1.0,14,0,0.834643007000011
661,1.0,14,0,0.8358322580000106
662,1.0,14,0,0.8369437360000234
663,1.0,14,0,0.8380452410000032
664,1.0,14,0,0.8391414840000095
665,1.0,14,0,0.8402523540000004
666,1.0,16,0,0.8414529310000205
667,1.0,14,0,0.8426210160000096
668,1.0,18,1,0.8438607639999987
669,1.0,14,0,0.8449688960000117
670,1.0,15,0,0.8461636199999987
671,1.0,14,0,0.8473382620000223
672,1.0,14,0,0.8485462480000194
673,1.0,14,0,0.8496424580000053
674,1.0,16,0,0.850860909000005
675,1.0,14,0,0.8519610730000124
676,1.0,14,0,0.8531553330000179
677,1.0,14,0,0.854252482000021
678,1.0,14,0,0.8553642190000232
679,1.0,18,1,0.8565794920000087
680,1.0,14,0,0.8577764530000138
681,1.0,14,0,0.8588685300000236
