idx,steps,failure
870,14,False
871,17,False
872,10,True
873,12,False
874,10,False
875,14,False
876,13,False
877,17,False
878,145,True
879,14,False
880,18,True
881,35,True
882,31,True
883,17,False
884,23,True
885,17,True
886,15,False
887,19,False
888,13,False
889,16,True
890,156,True
891,13,False
892,13,False
893,23,True
894,200,True
895,9,False
896,17,False
897,200,True
898,20,False
899,11,False
900,18,True
901,15,False
902,13,False
903,22,True
904,15,False
905,11,True
906,13,True
907,9,True
908,10,False
909,19,False
910,19,False
911,12,False
912,14,False
913,21,True
914,21,True
915,12,False
916,17,False
917,13,False
918,149,True
919,11,True
920,40,True
921,17,False
922,11,False
923,16,False
924,17,False
925,16,False
926,11,False
927,18,False
928,12,False
929,16,True
930,8,False
931,17,False
932,13,False
933,140,True
934,18,True
935,14,False
936,15,False
937,20,False
938,19,True
939,14,True
940,7,False
941,19,False
942,20,False
943,20,False
944,200,True
945,11,False
946,10,False
947,200,True
948,12,False
949,10,False
950,66,True
951,17,False
952,14,False
953,22,True
954,15,False
955,61,True
956,22,True
957,14,False
958,11,False
959,8,False
960,200,True
961,15,True
962,14,False
963,14,False
964,18,False
965,10,False
966,15,True
967,115,True
968,19,True
969,14,False
970,10,False
971,8,False
972,18,False
973,10,False
974,12,True
975,17,True
976,19,False
977,13,False
978,89,True
979,13,False
980,21,True
981,13,False
982,16,False
983,15,False
984,20,False
985,10,False
986,14,False
987,13,False
988,19,False
989,12,False
990,19,False
991,25,True
992,11,False
993,12,True
994,19,False
995,9,True
996,15,False
997,10,False
998,11,False
999,8,False
1000,19,False
1001,16,True
1002,11,False
1003,38,True
1004,15,False
1005,21,True
1006,13,False
1007,17,False
1008,17,False
1009,16,False
1010,15,False
1011,15,False
1012,15,False
1013,15,False
1014,14,False
1015,14,False
1016,43,True
1017,200,True
1018,41,True
1019,11,False
1020,13,False
1021,18,False
1022,73,True
1023,17,True
1024,14,False
1025,22,True
1026,15,False
1027,13,False
1028,14,True
1029,26,True
1030,13,False
1031,25,True
1032,16,True
1033,17,False
1034,18,False
1035,15,True
1036,16,True
1037,12,False
1038,16,False
1039,19,False
1040,62,True
1041,23,True
1042,13,False
1043,12,False
1044,23,True
1045,13,False
1046,17,False
1047,14,False
1048,15,False
1049,200,True
1050,48,True
1051,17,False
1052,67,True
1053,18,False
1054,49,True
1055,19,False
1056,18,False
1057,41,True
1058,17,False
1059,7,False
1060,200,True
1061,22,True
1062,10,True
1063,20,False
1064,17,False
1065,20,False
1066,17,False
1067,11,True
1068,19,False
1069,17,False
1070,13,False
1071,19,False
1072,17,False
1073,11,False
1074,24,True
1075,96,True
1076,12,False
1077,11,False
1078,200,True
1079,22,True
1080,9,False
1081,17,False
1082,14,False
1083,7,False
1084,10,False
1085,16,False
1086,59,True
1087,200,True
1088,16,True
1089,11,False
1090,14,False
1091,18,False
1092,17,False
1093,22,True
1094,26,True
1095,20,False
1096,12,False
1097,21,True
1098,17,False
1099,200,True
1100,20,False
1101,8,False
1102,82,True
1103,15,False
1104,17,False
1105,28,True
1106,37,True
1107,23,True
1108,19,False
1109,9,False
1110,12,False
1111,17,True
1112,18,False
1113,19,False
1114,8,False
1115,12,False
1116,21,True
1117,18,True
1118,36,True
1119,18,False
1120,200,True
1121,200,True
1122,9,False
1123,16,False
1124,11,False
1125,20,False
1126,200,True
1127,19,False
1128,12,False
1129,10,False
1130,11,False
1131,22,True
1132,14,False
1133,19,True
1134,17,True
1135,15,False
1136,10,False
1137,200,True
1138,23,True
1139,17,True
1140,200,True
1141,7,False
1142,16,False
1143,200,True
1144,200,True
1145,18,False
1146,14,False
1147,8,False
1148,200,True
1149,12,False
1150,11,False
1151,19,False
1152,13,False
1153,16,False
1154,10,False
1155,13,False
1156,12,False
1157,14,False
1158,16,True
1159,7,False
1160,15,False
1161,25,True
1162,16,False
1163,13,False
1164,16,False
1165,13,False
1166,10,False
1167,18,True
1168,18,False
1169,18,False
1170,15,False
1171,20,True
1172,15,False
1173,12,True
1174,19,False
1175,20,False
1176,13,True
1177,11,False
1178,13,True
1179,10,False
1180,6,False
1181,17,True
1182,13,False
1183,19,False
1184,18,True
1185,16,False
1186,15,False
1187,200,True
1188,12,True
1189,19,False
1190,200,True
1191,200,True
1192,16,True
1193,200,True
1194,18,True
1195,13,False
1196,12,False
1197,200,True
1198,20,False
1199,200,True
1200,16,False
1201,16,True
1202,16,True
1203,200,True
1204,15,False
1205,13,False
1206,16,True
1207,17,False
1208,13,False
1209,13,False
1210,200,True
1211,14,False
1212,21,True
1213,19,False
1214,200,True
1215,15,False
1216,22,True
1217,20,False
1218,200,True
1219,11,False
1220,14,False
1221,14,False
1222,14,False
1223,13,False
1224,200,True
1225,18,False
1226,200,True
1227,13,False
1228,13,False
1229,17,False
1230,21,True
1231,10,False
1232,19,False
1233,15,False
1234,10,False
1235,200,True
1236,15,False
1237,200,True
1238,17,True
1239,200,True
1240,200,True
1241,200,True
1242,10,True
1243,14,False
1244,23,True
1245,200,True
1246,13,False
1247,13,False
1248,200,True
1249,200,True
1250,12,True
1251,15,False
1252,14,False
1253,16,False
1254,16,False
1255,17,False
1256,20,False
1257,20,True
1258,13,True
1259,18,False
1260,11,False
1261,19,True
1262,16,False
1263,19,False
1264,10,False
1265,12,False
1266,11,False
