failure,steps,state,mutant
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
1,1,0,M
0,1,0,M
