idx,state,steps,failure,mutant
481,291,8,False,alpha_0.40
482,291,12,False,eps_0.30
483,291,11,False,plan_0
484,446,14,False,gamma_0.70
485,446,10,False,alpha_0.40
486,446,13,False,eps_0.30
487,446,16,False,plan_0
488,229,11,False,gamma_0.70
489,229,16,False,alpha_0.40
490,229,12,False,eps_0.30
491,229,12,False,plan_0
492,283,16,False,gamma_0.70
493,283,12,False,alpha_0.40
494,283,15,False,eps_0.30
495,283,14,False,plan_0
496,493,13,False,gamma_0.70
497,493,17,False,alpha_0.40
498,493,14,False,eps_0.30
499,493,12,False,plan_0
500,67,14,False,gamma_0.70
501,67,14,False,alpha_0.40
502,67,12,False,eps_0.30
503,67,13,False,plan_0
504,204,13,False,gamma_0.70
505,204,12,False,alpha_0.40
506,204,13,False,eps_0.30
507,204,17,False,plan_0
508,424,16,False,gamma_0.70
509,424,13,False,alpha_0.40
510,424,12,False,eps_0.30
511,424,12,False,plan_0
512,131,16,False,gamma_0.70
513,131,13,False,alpha_0.40
514,131,12,False,eps_0.30
515,131,12,False,plan_0
516,422,12,False,gamma_0.70
517,422,14,False,alpha_0.40
518,422,12,False,eps_0.30
519,422,14,False,plan_0
520,187,10,False,gamma_0.70
521,187,18,False,alpha_0.40
522,187,12,False,eps_0.30
523,187,12,False,plan_0
524,284,12,False,gamma_0.70
525,284,11,False,alpha_0.40
526,284,15,False,eps_0.30
527,284,14,False,plan_0
528,469,10,False,gamma_0.70
529,469,13,False,alpha_0.40
530,469,11,False,eps_0.30
531,469,11,False,plan_0
532,334,17,False,gamma_0.70
533,334,12,False,alpha_0.40
534,334,15,False,eps_0.30
535,334,11,False,plan_0
536,34,11,False,gamma_0.70
537,34,13,False,alpha_0.40
538,34,11,False,eps_0.30
539,34,12,False,plan_0
540,388,16,False,gamma_0.70
541,388,14,False,alpha_0.40
542,388,13,False,eps_0.30
543,388,17,False,plan_0
544,106,14,False,gamma_0.70
545,106,14,False,alpha_0.40
546,106,10,False,eps_0.30
547,106,8,False,plan_0
548,81,14,False,gamma_0.70
549,81,13,False,alpha_0.40
550,81,16,False,eps_0.30
551,81,17,False,plan_0
552,133,15,False,gamma_0.70
553,133,14,False,alpha_0.40
554,133,16,False,eps_0.30
555,133,14,False,plan_0
556,392,13,False,gamma_0.70
557,392,13,False,alpha_0.40
558,392,13,False,eps_0.30
559,392,11,False,plan_0
560,48,17,False,gamma_0.70
561,48,16,False,alpha_0.40
562,48,14,False,eps_0.30
563,48,15,False,plan_0
564,167,12,False,gamma_0.70
565,167,13,False,alpha_0.40
566,167,17,False,eps_0.30
567,167,11,False,plan_0
568,252,10,False,gamma_0.70
569,252,17,False,alpha_0.40
570,252,16,False,eps_0.30
571,252,12,False,plan_0
572,441,12,False,gamma_0.70
573,441,15,False,alpha_0.40
574,441,12,False,eps_0.30
575,441,15,False,plan_0
576,311,16,False,gamma_0.70
577,311,11,False,alpha_0.40
578,311,16,False,eps_0.30
579,311,15,False,plan_0
580,413,11,False,gamma_0.70
581,413,15,False,alpha_0.40
582,413,11,False,eps_0.30
583,413,9,False,plan_0
584,82,14,False,gamma_0.70
585,82,12,False,alpha_0.40
586,82,11,False,eps_0.30
587,82,12,False,plan_0
588,242,13,False,gamma_0.70
589,242,13,False,alpha_0.40
590,242,16,False,eps_0.30
591,242,10,False,plan_0
592,489,12,False,gamma_0.70
593,489,18,False,alpha_0.40
594,489,10,False,eps_0.30
595,489,14,False,plan_0
596,366,8,False,gamma_0.70
597,366,12,False,alpha_0.40
598,366,12,False,eps_0.30
599,366,11,False,plan_0
600,487,17,False,gamma_0.70
601,487,15,False,alpha_0.40
602,487,13,False,eps_0.30
603,487,17,False,plan_0
604,163,13,False,gamma_0.70
605,163,12,False,alpha_0.40
606,163,9,False,eps_0.30
607,163,10,False,plan_0
608,101,17,False,gamma_0.70
609,101,14,False,alpha_0.40
610,101,11,False,eps_0.30
611,101,12,False,plan_0
612,13,14,False,gamma_0.70
613,13,12,False,alpha_0.40
614,13,15,False,eps_0.30
615,13,11,False,plan_0
616,482,10,False,gamma_0.70
617,482,12,False,alpha_0.40
618,482,16,False,eps_0.30
619,482,12,False,plan_0
620,351,12,False,gamma_0.70
621,351,11,False,alpha_0.40
622,351,18,False,eps_0.30
623,351,16,False,plan_0
624,492,10,False,gamma_0.70
625,492,8,False,alpha_0.40
626,492,11,False,eps_0.30
