idx,state,steps,failure
614,284,1,0
615,407,1,0
616,386,1,0
617,329,1,0
618,403,1,0
619,132,1,0
620,168,1,0
621,231,1,0
622,221,1,0
623,304,1,0
624,83,1,0
625,183,1,0
626,69,1,0
627,214,1,0
628,91,1,0
629,301,1,0
630,464,1,0
631,353,1,0
632,284,1,0
633,49,1,0
634,461,1,0
635,394,1,0
636,53,1,0
637,106,1,0
638,222,1,0
639,403,1,0
640,94,1,0
641,6,1,0
642,406,1,0
643,214,1,0
644,327,1,0
645,189,1,0
646,68,1,0
647,322,1,0
648,391,1,0
649,69,1,0
650,264,1,0
651,289,1,0
652,28,1,0
653,406,1,0
654,291,1,0
655,107,1,0
656,146,1,0
657,231,1,0
658,344,1,0
659,242,1,0
660,91,1,0
661,111,1,0
662,26,1,0
663,46,1,0
664,333,1,0
665,269,1,0
666,323,1,0
667,6,1,0
668,427,1,0
669,23,1,0
670,127,1,0
671,329,1,0
672,144,1,0
673,191,1,0
674,286,1,0
675,91,1,0
676,206,1,0
677,206,1,0
678,111,1,0
679,447,1,0
680,161,1,0
681,7,1,0
682,282,1,0
683,143,1,0
684,372,1,0
685,48,1,0
686,362,1,0
687,369,1,0
688,184,1,0
689,266,1,0
690,222,1,0
691,192,1,0
692,268,1,0
693,283,1,0
694,33,1,0
695,33,1,0
696,174,1,0
697,214,1,0
698,254,1,0
699,153,1,0
700,227,1,0
701,272,1,0
702,329,1,0
703,407,1,0
704,163,1,0
705,132,1,0
706,188,1,0
707,472,1,0
708,266,1,0
709,452,1,0
710,247,1,0
711,142,1,0
712,9,1,0
713,34,1,0
714,383,1,0
715,324,1,0
716,129,1,0
717,423,1,0
718,71,1,0
719,52,1,0
720,47,1,0
721,348,1,0
722,71,1,0
723,433,1,0
724,71,1,0
725,428,1,0
726,269,1,0
727,268,1,0
728,488,1,0
729,469,1,0
730,154,1,0
731,304,1,0
732,144,1,0
733,104,1,0
734,248,1,0
735,452,1,0
736,53,1,0
737,468,1,0
738,428,1,0
739,253,1,0
740,148,1,0
741,332,1,0
742,344,1,0
743,63,1,0
744,164,1,0
745,372,1,0
746,126,1,0
747,222,1,0
748,262,1,0
749,421,1,0
750,464,1,0
751,443,1,0
752,194,1,0
753,29,1,0
754,271,1,0
755,214,1,0
756,232,1,0
757,74,1,0
758,11,1,0
759,206,1,0
760,34,1,0
761,249,1,0
762,63,1,0
763,468,1,0
764,468,1,0
765,146,1,0
766,206,1,0
767,361,1,0
768,46,1,0
769,332,1,0
770,109,1,0
771,489,1,0
772,486,1,0
773,304,1,0
774,347,1,0
775,432,1,0
776,147,1,0
777,151,1,0
778,489,1,0
779,109,1,0
780,392,1,0
781,3,1,0
782,213,1,0
783,353,1,0
784,194,1,0
785,332,1,0
786,352,1,0
787,444,1,0
788,407,1,0
789,172,1,0
790,164,1,0
791,282,1,0
792,492,1,0
793,22,1,0
794,166,1,0
795,394,1,0
796,86,1,0
797,169,1,0
798,23,1,0
799,304,1,0
800,242,1,0
801,432,1,0
802,271,1,0
803,101,1,0
804,281,1,0
805,313,1,0
806,461,1,0
807,383,1,0
808,463,1,0
809,409,1,0
810,328,1,0
811,9,1,0
812,443,1,0
813,94,1,0
814,147,1,0
815,329,1,0
816,426,1,0
817,226,1,0
818,171,1,0
819,142,1,0
820,192,1,0
821,261,1,0
822,443,1,0
823,152,1,0
824,201,1,0
825,83,1,0
826,263,1,0
827,481,1,0
828,284,1,0
829,407,1,0
830,14,1,0
831,401,1,0
832,348,1,0
833,461,1,0
834,66,1,0
835,481,1,0
836,271,1,0
837,66,1,0
838,86,1,0
839,366,1,0
840,151,1,0
841,326,1,0
842,9,1,0
843,289,1,0
844,209,1,0
845,352,1,0
846,92,1,0
847,484,1,0
848,66,1,0
849,447,1,0
850,307,1,0
851,34,1,0
852,9,1,0
853,223,1,0
854,309,1,0
855,148,1,0
856,241,1,0
857,394,1,0
858,301,1,0
859,226,1,0
860,168,1,0
861,306,1,0
862,53,1,0
863,222,1,0
864,391,1,0
865,424,1,0
866,272,1,0
867,172,1,0
868,284,1,0
869,448,1,0
870,162,1,0
871,369,1,0
872,152,1,0
873,204,1,0
874,241,1,0
875,169,1,0
876,23,1,0
877,232,1,0
878,383,1,0
879,112,1,0
880,151,1,0
881,149,1,0
882,191,1,0
883,353,1,0
884,14,1,0
885,323,1,0
886,304,1,0
887,389,1,0
888,372,1,0
889,426,1,0
890,229,1,0
891,74,1,0
892,141,1,0
893,212,1,0
894,129,1,0
895,274,1,0
896,232,1,0
897,281,1,0
898,74,1,0
899,142,1,0
900,412,1,0
901,264,1,0
902,423,1,0
903,49,1,0
904,489,1,0
905,413,1,0
906,306,1,0
907,11,1,0
908,321,1,0
909,349,1,0
910,391,1,0
911,83,1,0
912,323,1,0
913,372,1,0
914,362,1,0
915,211,1,0
916,66,1,0
917,481,1,0
918,424,1,0
919,366,1,0
920,204,1,0
921,324,1,0
922,341,1,0
923,323,1,0
924,163,1,0
925,131,1,0
926,389,1,0
927,213,1,0
928,122,1,0
929,68,1,0
930,324,1,0
931,166,1,0
932,442,1,0
933,361,1,0
934,162,1,0
935,363,1,0
936,389,1,0
937,53,1,0
938,48,1,0
939,427,1,0
940,123,1,0
941,463,1,0
942,54,1,0
943,142,1,0
944,7,1,0
945,49,1,0
946,101,1,0
947,169,1,0
948,274,1,0
949,69,1,0
950,14,1,0
951,89,1,0
952,131,1,0
953,214,1,0
954,51,1,0
955,171,1,0
956,184,1,0
957,49,1,0
958,133,1,0
959,132,1,0
960,263,1,0
961,74,1,0
962,282,1,0
963,43,1,0
964,249,1,0
965,62,1,0
966,172,1,0
967,401,1,0
968,106,1,0
969,232,1,0
970,233,1,0
971,391,1,0
972,446,1,0
973,441,1,0
974,106,1,0
975,444,1,0
976,404,1,0
977,47,1,0
978,464,1,0
979,347,1,0
980,422,1,0
981,114,1,0
982,266,1,0
983,209,1,0
984,153,1,0
985,183,1,0
986,284,1,0
987,223,1,0
988,121,1,0
989,489,1,0
990,246,1,0
991,203,1,0
992,453,1,0
993,46,1,0
994,31,1,0
995,281,1,0
996,131,1,0
997,307,1,0
998,233,1,0
999,484,1,0
1000,88,1,0
1001,364,1,0
1002,149,1,0
1003,366,1,0
1004,262,1,0
1005,152,1,0
1006,472,1,0
1007,426,1,0
1008,52,1,0
1009,127,1,0
1010,28,1,0
1011,369,1,0
1012,329,1,0
1013,391,1,0
1014,162,1,0
1015,141,1,0
1016,91,1,0
1017,42,1,0
1018,242,1,0
1019,327,1,0
1020,486,1,0
1021,194,1,0
1022,292,1,0
1023,327,1,0
1024,406,1,0
1025,384,1,0
1026,364,1,0
1027,53,1,0
1028,166,1,0
1029,23,1,0
1030,104,1,0
1031,123,1,0
1032,322,1,0
1033,324,1,0
1034,426,1,0
1035,12,1,0
1036,313,1,0
1037,189,1,0
1038,492,1,0
1039,292,1,0
1040,268,1,0
1041,166,1,0
1042,349,1,0
1043,309,1,0
1044,161,1,0
1045,127,1,0
1046,107,1,0
1047,482,1,0
